Author,Rating,Review Title,Full Review,Likes,Dislikes,Date
Prabhjot Mand,4,Very Good,overall value for Money Product!! ,1,0,"Nov, 2018"
Flipkart Customer,4,Really Nice,"if camera is your priority, you should avoid this product. performance as a whole is ok considering the price you pay. but camera is not that worth. just decent. they should optimize software to augment cameras shooting capabilities. front camera don't have eis I guess. this is my review after 3 days. will update if I get better performance with cAmera samples.",1,0,"Nov, 2018"
gaurav dhoble,5,Terrific purchase,"Here is a power packed performer from Xiaomi..The Flagship phone POCO in economy price. Name sounds bit weird:P but coming to Camera Processor performance ScreenDisplay Battery QuickCharging, this is the best phone till date in the market. ",1,0,"Nov, 2018"
Amit g,5,Brilliant,"Fantastic phone, LTE CARRIER AGGREGATION works really good on JIO and Airtel. Overall phone is good interms of build quality and performance. only downside which Im totall ok with considering price is the display. Its not as vibrant as my Honor view 10. I would honor v 10 display at 9 and pocof1 at 8 thats it.",1,0,"Nov, 2018"
Shubham  Simgh bagri,5,Wonderful,Not that good as as as much as I want but ok for this price range but having a lots of  bugs please fix it fast please optimise the MI UI and optimise the battery it not run as that great of 4000 battery actually give but even at last it is good phone keep it Poco A grate device and why are you comparing oneplus 6t with your phone it is much better than you ost is much out much better Optimisation than you and much better speed than you ok,1,0,"Nov, 2018"
Lokesh Kumar,5,Excellent,"A very nice phone . I think value of the phone is more than the money i paid. Excellent camera ,top notch performance, face unlock is superb (even in dark you can unlock it) IR sensor, battery life is decent (if you are average user it can continue upto 1.5 day).",1,0,"Nov, 2018"
Suraj Gadekar,5,Brilliant,using since 20 days. working good. seems faster performance. battery backup is fantastic doesn't drain fast. camera is good. video quality is fantastic with image stabilization. zoom quality is very good. picture is very clear. sound quality is also good. only notch size should have been small linke one plus 6T. otherwise poco is fantastic phone.,1,0,"Nov, 2018"
sourabh mandal,5,Wonderful,RAW POWER,1,0,"Nov, 2018"
Hemant Gupta,5,Wonderful,perfect phone in mid range performance and all all the options are very good six Stars for that only negative point is display with fields 2nd Grade battery life is very good last two days upon medium to heavy usage dual v o l t e works very fine best quality is good enough very fast performance good camera highly recommended at its price.,1,0,"Nov, 2018"
Vijay Kharage,5,Bang for the buck. Go for it.,"Using it since a month,",1,0,"Nov, 2018"
Sameer Gupta,5,Worth every penny,Pros:,1,0,"Nov, 2018"
Ananya  Sharma,5,Best in the market!,SD 845 flagship processor 5*,1,0,"Nov, 2018"
Joshua Sathyaraj,5,Simply awesome,So here is my review. First of all thanks to Flipkart that I got 2000 credited to my wallet today(31/10/2018) for purchasing PocoF1(it's kind of Festive offer by the seller). ,1,0,"Oct, 2018"
Maulik Chachra,5,Best in the market!,Great device. Install google camera for poco f1 on the device and enjoy dslr like pictures better than iPhones.,1,0,"Oct, 2018"
Rishi Chandak ,5,Truly Master of Speed,"I have been using this product over a week now. Everything about this phone seems flawless to price. For this price, it's highly unlikely to get snapdragon 845 with 6 gb ram.",1,0,"Oct, 2018"
Milind Mishra,4,Value-for-money,Great phone but there are some issues in UI i found some bugs and reported them. Battery and performance is great while playing game like PubG or tekken or any high graphics game frame drop is zero. The amazing feature is face unlock they provided seperate camera for face unlock which works even in pitch dark. Camera manual mode has great settings u can take long exposure easily. Selfie camera and potrait mode is also great picture processing and edge cutting is great I am amazed with perform...,1,0,"Oct, 2018"
Dinesh Kumar,5,Awesome,phone was just awesome picture clarity is topnotch.Battery is pretty well since 4000mah gives good backup.The best processor for this price range just go for it with out any doubts..,1,0,"Oct, 2018"
Abhishek Vishal,4,Pretty good,"Great Mobile. Full on Value for money. best performance in class. it's super smooth. till now, haven't found any lag. I was worried about the screen bleeding issue like I heard from other users, but fortunately my unit doesn't have it. so, big plus. ",1,0,"Oct, 2018"
Shashidhar Varma,4,Nice product,I really loved it.,1,0,"Oct, 2018"
SARATH HARI,5,Classy product,POCO F1 is a power pack flagship at its price range. It has many things inspired from One plus from the cover itself but still POCO makes the difference.,1,0,"Oct, 2018"
Tauseef Shaikh,5,Terrific purchase,I bought this products 2 days back. ,1,0,"Oct, 2018"
Swapnil Chikne,5,Perfect product!,very happy with the purchase which is a great vfm. notch is slightly larger compared to same class phones but for users who are specs driven and care about the Money they spend this is perfect! the plastic body had taken multiple falls but is sturdy and lives up to its potential. it's a bit on the bulky side but it's a workhorse with the large battery and lasts easily for a day on heavy usage! buy it with ur eyes closed its a great product at phenomenal price !,1,0,"Oct, 2018"
Sameer Adhikari,5,Simply awesome,Amazing value for money phone ever..,1,0,"Oct, 2018"
Ranbir Singh,5,Terrific purchase,"This has by far been the best phone I have ever bought .....A+ Camera, A+ Battery and most important A+ performance .....0% lag.....Love It..Thankyou Xiaomi...♥️",1,0,"Oct, 2018"
D Anil Kumar,5,Highly recommended-Beast in performance,"After usage of 1 week, i am posting this review.",1,0,"Oct, 2018"
Vinayak Vinu,4,Really Nice,"speed master, best flagship phone at this price, no heating issues, unless u continuously be in pubg.Rear camera would have been more better, but none the less works fab on natural light. Front camera is better too, the portrait mode wins here. Overall it's worth 21k👍",1,0,"Oct, 2018"
Flipkart Customer,5,Perfect product!,compared to earlier MI phones which I have used this is the best. longer battery life great camera quality most important is the speed excellent Ram 6gb. the applications open in a fraction of seconds I love this phone. last but not least Flipkart is giving buy back option. thank you Flipkart thank you mi.,1,0,"Oct, 2018"
Praveen Acharya,5,Terrific purchase,"Love the speed at which it can accessed (845 chipset), fantastic iris detection, good battery backup. Overall it’s worthy for the price been paid.. Google assistant is not with updated version..",1,0,"Oct, 2018"
p prasad  rao,5,Wonderful,Fantastic phone ever i used in my life ,1,0,"Oct, 2018"
Sumiyan Rokhum,5,Perfect product!,Pros: ,1,0,"Oct, 2018"
Suraj Das,5,Great product,"Ooh finally the POCO has come. phew what can I say, I am so much happy, I can write one word for this product i.e it runs like BUTTER. it is so smooth and fast unbelievable. yes look wise the notch is bit on the higher side but trust me you won't feel that because the touch is at its ultimate level.",1,0,"Oct, 2018"
Venkatesh Kumar  Tirumala,5,Fabulous!,Value for money just go for it to with out any thought. Superb cam awesome performance. I loved it...😍😍,1,0,"Oct, 2018"
siva,2,Super Phone with blazing speed,"I have been researching for a phone since 1 year  it is the mix that I want a snapdragon prcessor 845 in a affordable price with the best ram 6 GB and the type c charging for fast charging a face unlock at pitch dark and a solid heavy battery 4000Mah and a slim look, I hope so that is the Best in all the aspects what all want and he are the what I found",1,0,"Oct, 2018"
Midhun Kv,5,Just wow!,"it was so amazing phone and good performance I have been ever seemed,the camera quantity is excellent so I thing it was valuable for money and  also thanks to Mi",1,0,"Oct, 2018"
Avinash V,5,Super!,Few things on poco f1                                                 This phone is very new with notch in it whereas the apps or not developed for the phone as well as OS is not so optimised in indian retail unit and doesn’t have MIUI 10 out of the box and the speakers is amazing but it is not dual front speaker like advertised and phone is pretty amazing but more optimisation is required  due to notch on it and the phone is crazy fast trust me it is lag free phone on budget variant and this...,1,0,"Oct, 2018"
Ashok Kumar,4,Worth the money,Actually i was waiting to buy One plus 6T which is going to launch this month end. But came to know POCO F1 offering same premium SD 845 processor at very aggressive price and then i decided to give a try to POCO.,1,0,"Oct, 2018"
Devendra Darji,4,Nice product,overall this is good and awesome phone which comes with Snapdragon processor 845 at this price...,1,0,"Oct, 2018"
Tushar  Rai,5,Simply awesome,"mind blowing phone super fast,nice camera front back both super,face unlock work very fast and accurate even in night there is no need of fingerprint scanner,build quality is good,look is also ok i hv blue varient",1,0,"Oct, 2018"
Akhil Kumar,5,Super!,"Terrific value for money. I have been using it from the past 12 days. No hiccups in performance.  Great battery life, lasts a day easily with around 30% still left. Special mention for the camera, it is amazing in day light, good amount of detail and dynamic range. Out of the box raw capture support is missed though. Video quality is great too, 240 fps is usable, 4k 60 fps is missed. Low light performance is average, a lot of detail gets lost in noise reduction but does not bother me because ...",1,0,"Oct, 2018"
Soumen Das,4,Nice product,"Very good product. I ordered 6 GB + 128 GB variant. Delivery was fast and accurate, good job by Flipkart. This phone has top notch specification, so performance is really good. This phone has very good screen, smooth performance, moderate loud speaker (rear) (dual stereo speaker is a joke in my experience, very tiny sound output from earpiece while playing audio) , good mobile network reception, clear connectivity over cellular network, dual 4G volte reception, has fast charging support (took...",1,0,"Oct, 2018"
Badri Pawan,4,Value-for-money,Nice mobile under 21k ,1,0,"Oct, 2018"
Manwendra  Tiwari,5,POCO F1,"Excellent mobile toch is too good fast charging, sound is also good",1,0,"Oct, 2018"
Utkarsh Ambikesh,5,Great product,Would be writing about CONS only because that's what most of the buyers want to read. :-,1,0,"Oct, 2018"
Flipkart Customer,4,Worth the money,A truly nice experience using this midrange beast.Everything working fine and consider buying a new durable cover for this phone as its screen is delicate and dont rely on the case supplied with the phone .,1,0,"Oct, 2018"
Subrahmanyam V,4,Very Good,I have now used the phone for over a month.,1,0,"Oct, 2018"
Riser Rishu,3,Does the job,it is a good phone but the ram management is bad and screen is small than usual market phone. and phoco must has to update UI .,1,0,"Oct, 2018"
Flipkart Customer,5,Brilliant,I just love this phone the camera is great charging is very fast and the phone doesnt gets heated up even if it is clocking very high...sometimes it may get hot due to full brightness andthis is totally unavoidable so dont worry ur processor is not heating up and iy wont affect the device.,1,0,"Sep, 2018"
Gaurav Kushwaha,5,Just wow!,camera ordinary,1,0,"Sep, 2018"
Trushar Patel,5,Best in the market!,Its amazing phone i like vry much.. Vry powerful battery is good.. Fast charging .. camera work excellent..,1,0,"Sep, 2018"
Flipkart Customer,4,Master of value for money,The POCO F1 is good phone and is truly value for money. I am using this phone from last 5 days. Good display good photos and super fast processor.,1,0,"Sep, 2018"
Ganesh Patil,5,Mind-blowing purchase,"Super Camera really appreciate , ",1,0,"Sep, 2018"
Sonali  Parab,4,Very Good,"So far the performance is snappy and smooth. Love the display and the screen glass give a premium phone feel. The device comes with a cove case which is very thin rubber case but look fine and can work with. The sound on the phone is loud and clear although there is dual speaker at the bottom, most of the time it feels like on of the speaker is throwing most of the sound out of device. The small speaker at the notch also outputs the sound while playing music which makes up for the not-so good...",1,0,"Sep, 2018"
Sivakumar Krishnamurthy,5,Fabulous!,"Instead of spending 40k and 50k on a top end mobile we are getting a mobile with the latest processor and GPU at an affordable cost.  The phone is blazing fast. Keep it up Xiaomi. Well done.  You are putting the likes of galaxies,  one plus and apple to shame.",1,0,"Sep, 2018"
Nagaraju Kusuma,5,Simply awesome,Yes it's super fast,1,0,"Sep, 2018"
Ashutosh Kumar,4,Good quality product,This phone is really value for money.You are getting to use the phone with flagship features in very reasonable price.And just to inform  Xiaomi has confirmed that this phone is Splash resistant also.If you are looking for a phone under 25k with flagship features then I think no phone is present right now in the market better than this.,1,0,"Sep, 2018"
Flipkart Customer,5,Best in the market!,"I have been using this since last five days. Just Doing intense Gaming high end graphics like Asphalt 9, PubG, And NFS. It does not heat up, battery is better while gaming. Camera is better with Google Pixel Camera app. Display is As 20k mobile phones. Fully worth buying even having S8 plus but I bought this for gaming.",1,0,"Sep, 2018"
rakshit sharma,5,Brilliant,got within 2 days thanks to flipkart for that!!! things i dn like about phone are big chin! and plastic feel else wise great phone those who are looking for a phone with unleashed performance and can compromise with the way it looks go for it with eyes closed !!!,1,0,"Sep, 2018"
Ayush  Nayyar,5,Highly recommended,"This phone is incredible value for money! Even thought the back is plastic, it didn't feel that cheap. It doesn't feel too premium at the same time. Camera quality has been excellent. Network reception is awesome and battery life is great too! ",1,0,"Sep, 2018"
Srikanth Kannan,5,Terrific,"need improvement in camara. comparing to vivo it's not good camera. even it will not matching with vivo v5, v9.",1,0,"Sep, 2018"
daksh patel,5,Brilliant,1: the main is the soc i.e snapdragon 845 chipset  due to this phone works perfect.,1,0,"Sep, 2018"
Raj Haraniya,5,Must buy!,Pros-,1,0,"Sep, 2018"
KURLI SREENIVAS REDDY,5,Great product,"Using it for 24 hours I should not judge the phone whether positive or negative but I would like to disclose few things which are very nice. Cooling system works fantastic , processor speed fabulous , battery life is energetic and camera is perfect...I can call POCO F1 as Mr Perfect in this price range. But Chinese company has to take care of our data also ...as hacking is so simple to hackers....",1,0,"Sep, 2018"
Ram Gopal,5,Worth every penny,very nice phone & fully satisfied with its functions. It's a beast in performance & kill all mobile devices in its range. Very fast unlocking system as well as its fast response. & thnks to Flipkart for faster delivery within 3 days of flash sale.,1,0,"Sep, 2018"
Temba Kumar,5,"Extraordinary, mind-blowing,fantastic,marvellous beast","The phone is simply a beast manufactured by Xioami. Flipkart plus is just simply superb. On time delivery as promised during booking. Awesome communication and sms updates at each and every step. Coming to the phone killer flagship in its own arena of smartphones. Its handy. Camera is awesome, IR face unlock features, Dual flash , Extraordinary features and outstanding looks. This is my 2nd phone from Xioami. Previously I was using Mi Max Prime 128 GB, now POCO F1 128 GB. Totally satisfied. X...",1,0,"Sep, 2018"
Priyadarshan Jain,5,Must buy!,good touch response nice camera battery life is good enough for a whole day or face scanner is working very well in day and in night also processer is ultimate no hitting issue at also weight is good enough to hold phone build is also good nothing bed in this price more valuable then its price display quality is good ,1,0,"Sep, 2018"
Piyush Pradhan,5,Wonderful,Snapdragon 845 with 2 mb L3 share cache memory and 1.5 mb L2 cache memory take it to a whole new level. One can easily live with it for atleast 3 years. great camera great battery life. Best price and fluid performance. What you miss from F2 or F3 will be design only. That's all. Go for it !!!!,1,0,"Sep, 2018"
Kushal Chevva,5,Just wow!,"This is an amazing device at this price point. I heard many them complaining about the build quality and the polycarbonate back, but do remember that the lumia series even to had a polycarbonate back and everyone then were happy with a polycarbonate back. Trust me this is a great device",1,0,"Sep, 2018"
Dhiraj  Sutar,5,Must buy!,I have been using this device since 2 weeks. here is my review,1,0,"Sep, 2018"
Geoffrey  Sanjo ,5,Super!,"A long wait has come to an end!!!!!! . Hats off to flipkart for their fast delivery. Coming on to the phone Poco f1 really blows your mind...............(1). The screen looks really good and its very bright...(2) Battery life is insane, can easily get 10hrs screen on time.(3) And boy when it comes to performance its just in a different league... Thanks to sd845(4)download speeds are really good and you get jio 4g+ network on it at very good speeds... 20mbps (5) good call quality (6)front and ...",1,0,"Sep, 2018"
Yogendra Bhalerao,5,Simply awesome,Excellent phone! 34K features in 24K..Value for money. Got it delivered on time. Really happy with the product. Thanks Flipkart for service..Thanks MI for a really awesome product..,1,0,"Sep, 2018"
Sudheer,5,Classy product,"I am using Poco mobile from last 1 week, best mobile in this range.",1,0,"Sep, 2018"
Ankit Rajput,5,Super!,Amazing smartphone with amazing features and the performance is just awesome.,1,0,"Sep, 2018"
Raja Ganesh,5,Terrific purchase,Nice phone but due to 4000mah battery u will feel bit heavy weight while you are using &  you will be not able to access to notifications from noutch except that everything 'is good enough,1,0,"Sep, 2018"
Naga sai Srinivasa Rao Boppana,5,Brilliant,i am really very exected to have this phone me my uncle and my friend bought this phone and we dont find no issues with the phone no display bleeding anything like that .face un lock working better and finger print unlocking is extraordinary and copying of files on the phone to memory card is faster .here i am using (SanDisk class 10 64gb ).and youtube reviewers some times they sucks with there reviews they need to try first with classes of memory cards and thwn they need to riae the issue.be...,1,0,"Sep, 2018"
Aritra Bhattacharya,5,Terrific,There is slight screen bleeding. But other than that..the phone is really fantastic. Quick charging is awesome. my main attraction is the dual primary cameras. They are just out of this world. Overall..this is an awesome and outstanding phone within this budget.,1,0,"Sep, 2018"
prashant dogra,5,Simply awesome,"Best in class ,,,some of the highlights....",1,0,"Sep, 2018"
Dipankar Kirtaniya,5,Must buy!,"Built quality-r Jonno Khub voye voye haate nite hoy, Khub baro and weight o anek besi. Je kono performance Khub fast. The transparent back cover  provided in the box is perfectly useless, very loose and effects on camera while flash is on. extra screen guard and good quality back cover must have to buy if we want to avoid physical damages. The is much possibility of dropping the phone from hand due to little space for gripping as the screen is much wide.",1,0,"Sep, 2018"
Diksha Bajaj,5,Highly recommended,I was confused in Poco f1 or Honor play?,1,0,"Sep, 2018"
Raviteja Seelam,5,Fabulous!,"phone is super . If they have provided amoled display it will be the best phone ever seen for this price.Heating issue better than one plus 6.I strongly recommend you to buy this phone. Don't waste money by spending double the price for one plus ,apple.Within 6 months new phone will come and your phone will be old , resale value also very less Sad.",1,0,"Sep, 2018"
Jarvis JN,5,Classy product,Review from an iPhone 7 Plus user: ,1,0,"Sep, 2018"
Pratik Mehta,4,Nice product,"Great phone with awesome clarity. Out of the box, the back cover just sucks.  Camera during motion image clicks is not that great. Stilled images and selfies are amazing though. Fast charging works nicely. MiUi is pretty much the same, the last I used in Redmi Note 3. Not much changes despite integration with Android Oreo. Looks and feel is good as well. Loudspeaker does not provide that great volume depth but okayish.",1,0,"Sep, 2018"
devashish wanjari,5,Fabulous!,Awesome mobile with best price but their are some bugs that can be resolved by mi update. Their should be flash at front cam that is not thier bit overall it is good but front cam pics are not that good where i disappointed.,1,0,"Sep, 2018"
Bidyut Acharya,4,Pretty good,pros 845 processor,1,0,"Sep, 2018"
Vineeth Pillai,4,Wonderful,This Flagship will kill any other flagship mobile coz they are giving the latest Processor which indeed is a beast in performance at a very reasonable rate... ,1,0,"Sep, 2018"
Flipkart Customer,5,Terrific,"Value for money, totally worth the price with amazing performance. Camera, display and speakers could have been better but it's a small trade off for rest of the features that you get at this price. Unlocking is way too fast and all the latest games run smoothly along with power packed battery backup. No heating issues also till now. Loving it!!! 😁",1,0,"Sep, 2018"
RAM G,5,5* for Flipkart Service,Used POCO F1 for about 3 days.,1,0,"Sep, 2018"
Flipkart Customer,4,Value-for-money,"Awesome specs at this price (@20k) but need to work more on rom(software part), also no 1080p @60fps...under hardware test it shows 2 camera at front i don't know why... Camera is awsome Other things are ok",1,0,"Sep, 2018"
Anupam Sharma,4,Delightful,"Good phone in this segment. Superb camera, good display and good battery life.",1,0,"Sep, 2018"
Amrendra Pratap Singh,4,Good choice,"not as hyped, good camera but while capturing image screen size reduced like normal phone then what the benefit of full screen..",1,0,"Sep, 2018"
Moorthy official,5,Brilliant,"right now giving review on my poco phone its just simply awesome, and one of the best mobile from xiaomi, no fault, just impress me a lot and well satisfied😍😍😍",1,0,"Sep, 2018"
Salman Khan,5,Worth every penny,"It is my first smartphone which i bought online for myself. flipkart delivery is good, got the product within 2 days. Bought the 6gb ram and 128gb variant on 29 august. My honest opinion about this device after 14 days of usage.",1,0,"Sep, 2018"
harsha,5,Super!,The best phone in this segment.The speed and performance is very good.You can feel the speed of the phone. i am Continoously using it for the games and other apps .PUBG game in ultra HD also its smooth no heat issue.It will cool in a seconds Overall best in this segment .,1,0,"Sep, 2018"
Kunal Chaudhary,4,Pretty good,I have been using this phone for the last 12 days and frankly this is the best value for money in the market right now.,1,0,"Sep, 2018"
Sushant Verma,5,Classy product,"had been using for 3 weeks, ",1,0,"Sep, 2018"
binay tripathy,4,Really Nice,"Good value of money for the hardware of poco. Display not at par with Samsung and Lg mobiles which are priced at same level, and the volume of the phone also need to be enhanced. over all phone battery is good after 5 days of use, 4000 mh battery does a good job. A good budget phone at price range of 20k. Definitely a good deal.",1,0,"Sep, 2018"
D n yadav,5,Best in the market!,when I going to purchase I think lots about build quality but after that when I receive my poco f1my it's nice ..and u can't accept more than  in 20k it's beast no near ..to catch it in performance in around 25k ..thanku for flip kart fast delivery..poco nailed ...,1,0,"Sep, 2018"
SOUMYA CHATTERJEE,5,Wonderful,"great phone,great cam, battery n all, amazing purchase, great audio too, once you select mi audio enhancer n click to appropriate ear phones type. rise to wakeup is great n handy feature to unlock, face unlock is perfect in dark n rise to wakeup all together , I forgot when last used fingerprint 😊",1,0,"Sep, 2018"
Buyers  Remorse,5,Excellent,Haven't used much (only 7 days so far),1,0,"Sep, 2018"
Robin Roy,5,Brilliant,Excellent product and fast delivery by ekart,1,0,"Sep, 2018"
Anoop Fresco,5,Terrific,"Poco is the real value for money device. the best camera in this segment.  amazing battery life, SD845 SoC, 128GB storage and 6GB of ram at the very affordable price. I'm satisfied with this phone. but Xiaomi/could have done something for the screen protection. Gorilla glass 3 is just a normal glass in terms of durability. overall, nice phone. #recommended",0,0,"Sep, 2018"
ANILSAITEJA VETCHA,5,Best in the market!,"super battery back up, excellent fast working, very fast finger print sensor, and easy to Handel the phone for all age groups,but accessories are not available in market still after realising the product  of one month",1,0,"Sep, 2018"
Prabhu P,4,Pretty good,"been using for the last 3 days. speed, gesture controls, and faster face unlock, great battery life, good display and sound is what I liked about. Also camera is good but not up to the level of  pixel phones",1,0,"Sep, 2018"
sowrabh l,5,Awesome,"Beautiful device, works perfectly , smooth as you wish.. can toogle between apps easily, new update fixed most of the bugs. camera is sensational especially the front camera is soo good , you get the perfect details .",1,0,"Sep, 2018"
Arun Murali,5,Worth the money,"Like most of the users I was also Skeptical about the built quality of Poco. But after getting hands on it I felt my thoughts to be trashed. Its a well built handset popping out from the old good plastic era. Only because of the current trend of metallic builds and glass builds this phone seems to be less premium. Its a great phone with terrific performance, a good set of camera which can make you feel excellent at optimum conditions, a great display, good looks and extraordinary value for mo...",1,0,"Sep, 2018"
Priyanshu Pathak,5,Awesome,"i have already used oneplus6 ,5t both. these are ultimate decice in market with tough competition. Now comes poco, this device satis fied me,wirh performance and whith such a low budget. phone is good enough, as i said i have used one plus device , so no compare to it , but in competition to other in same mi device,this is the best they get.",1,0,"Sep, 2018"
Piyush jaiswal,5,Excellent,"best phone in this price as well as comparable to 40k phones, battery is the beast of this phone , no heating at all, performance is the best thing of this phone, camera is better than vivo v9 as i compared it with my brothers v9 .. complete package phone with unbelievable price .. highly satisfied with this phone best deal that i have ever",1,0,"Sep, 2018"
Saurabh Mandal,5,Must buy!,It's one of the best flagship phone out there. And believe me it's better than the others.,1,0,"Sep, 2018"
Shivkumar Iyer ,5,Excellent phone,Shifted from Samsung to one plus and now from One Plus to Poco1. So far the phone is working perfectly good with great camera and speed. Would highly recommend this phone.,1,0,"Sep, 2018"
Arun Prasad Dhanaraj,5,Terrific purchase,"Best phone at this price. Never imagined 845 chipset at this price. I was actually reading about Mi A2 and Honor play for my sister and finally ended up buying poco F1 from Xiaomi. Only this can be improved is it is not steel body. But my sister enjoys using this phone and this is a perfect phone no doubt in that. Camera, Battery and performance everything is good.",1,0,"Sep, 2018"
SARATA CHANDRA MISHRA,5,Fabulous!,"I was confident from the hardware specification that Poco F1 will make a repulse in the current smartphone market. I ordered the product 128GB/6GB version on very first release day on 29th Aug. Got in my cart within first minute. Flipkart delivered the same to me at a sub-metro location on 31st Aug, one day prior to the schedule. Phone is very fast. All the desired specifications like dual sim, dual 4G, external memory(though not required in a 128GB version), Dual back Camera, 20MP Front came...",1,0,"Sep, 2018"
Mohamed  Ediyattayil ,5,Perfect product!,"This phone is literally and practically the best smartphone for its price , the performance of the mobile is like that of a beast , the camera is one of the best camera ever , and people who is complaining about its plastic back , even it doesn't feel luxurious its awesome , with the free case it feels glossy .",1,0,"Sep, 2018"
Jalaj  Ahluwalia,5,Great product,"Amazing phone at this price point, I have heard many reviewers saying that the built quality is not up to the mark but according to me it feels pretty durable in the hand as well as really comfortable to hold.... No heating issues, Great display! Obviously amazing performance because of the Snapdragon 845. Just the one thing I did not like was the quality of the case provided inside the box was not fulfilling the expectations. Otherwise a GREAT phone!",1,0,"Sep, 2018"
Ankush Khanuja,5,Fabulous!,1. Flipkart ✌️👌👍🙏 for timely delivery,1,0,"Sep, 2018"
trinadh,5,Simply awesome,"This is detailed review,i brought after 2 days use.. ",1,0,"Sep, 2018"
Ashwin H,5,Simply awesome,I just love the battery backup.,1,0,"Sep, 2018"
Sandipan Choudhuri,5,Excellent,"Got Poco F1 (6/64) on the first day of flash sale. Received in 1 day, and since using it. It has been 7 days of full usage. Would like to share my experience on the usage.",1,0,"Sep, 2018"
Ambar Pathak,5,Classy product,This is an absolutely amazing phone at this price superb battery camera display and pretty much everything about this phone is top of the line according to its price highly recommended over MI A2 REDMI NOTE 5 PRO.,1,0,"Sep, 2018"
Flipkart Customer,5,Simply awesome,Dear friend,1,0,"Sep, 2018"
ankur sahu,4,Delightful,"A phone packed with everything. camera is good ,colours are punchy but it doesn't have that clearity in the clicked pictures. performance is great, you can play any game available in playstore at highest graphics without a lag. but there is a problem that you can't mute the sounds that causes while pressing a button, specially when you set an alarm,when you scroll to adjust the time,you can hear a slight sound l, that's can't be muted. battery backup is very impressive and i am using the stee...",1,0,"Sep, 2018"
Flipkart Customer,5,"Value for money, overall it's a performance phone.",I'm writing this review after using the phone for 8 straight days. This phone is quite good for heavy users who wants to play heavy games on it. The phone did not heat up at all I've used to play games like PUBG and Asphalt and even for continuous 4 hours of playing PUBG it did not heat up and also game did not lag any instance of time.,1,0,"Sep, 2018"
ATANU DAS,5,Terrific,Best parts in this phone are,1,0,"Sep, 2018"
syed shahul,5,Classy product,"Awesome phone in this price great camera, great battery and awesome performance",1,0,"Sep, 2018"
Abhijit Jena,5,Mind-blowing purchase,"best value for any phone . everything is at it's best for the price being .. only thing is it's plastic , but the built quality is good that's ok .. camera is good , sounds ok . battery lasts long , memory expansion available , that's a great smartphone spec .",1,0,"Sep, 2018"
suhail vp,5,F A N T A S T I C !!,"Product was awesome at this pricerange. Good camera, and superfast as it is sd 845, screen was average, speakers was good. Overall it's a fantastic device!. You can buy without any worries. I don't know about the future performance, but as it is, was great.",1,0,"Sep, 2018"
Brajesh  Kumar,5,Fabulous!,"Got this phone on first sale and after using it for few days here is the detailed review. As per phone specifications, this phone is killer in this price segment. Battery lasts more then a day with normal usage. If we talk about quick charge, it is very fast. Front Camera 10/10. Rear Camera 9/10, rear camera needs improvement in portrait mode and low light conditions. I believe software update will fix the issue. Display quality is excellent but notch is big and not perfectly designed, I use ...",1,0,"Sep, 2018"
Rahul Kamma,5,Brilliant,Battery life is Amazing. I'm getting 8 hrs of SOT. Screen is also good. Performance is great. Camera is also good in daylight. Face unlock is working so fast that I feel like I don't have any screen lock or something. Instant unlock. Fingerprint is also great. Value for money. It doesn't feel plastic. Build quality is good. A worthy upgrade. I can't add any photos cause they're huge. Flipkart doesn't accept. Worth every rupee. Poco team is also looking into the issues reported by users so it ...,1,0,"Sep, 2018"
Atanu Banerjee,5,Fabulous!,"Battery is good but not great, Camera is Good in day light but in artificial light and night it's very noisy. Sound is very very loud, Afterall we get 845 in around 22k that's is enough for all.",1,0,"Sep, 2018"
Abhijeet Mahajan,5,Super!,"Best phone with great camera quality, good battery performance, and with too fast speed.",1,0,"Sep, 2018"
Sadananda Swamy,5,Super!,"The phone brings great value for the money paid. Phone has tonne of good features which makes to forget minor flaws in the phone. The Camera is more than average, RAM management is good, as of now there is no heating issue. Camera gives more option to experiment while taking the photos and the pictures comes out to be more vibrant and natural. Overall this is a great phone currently available in the market and xaomi has done a great job by launching this phone at the right time in a right pri...",1,0,"Sep, 2018"
Rudra Singh,5,Best in the market!,superb fast delivery by flipcart. Awesome feeling after using the phone. Back is made up of plastic but doesn't feel like it's made up of plastic. Best in 21k price. Overall performance is killer. Battery life is good but not as expected but won't mind. Love it,1,0,"Sep, 2018"
Azim Banday,4,Value-for-money,Used for 3 days,1,0,"Sep, 2018"
Flipkart Customer,5,Brilliant,"Firstly thank you flipkart for the amazing customer service, It reached very early than expected. Got a discount of almost 2000 being an HDFC account holder. ",1,0,"Sep, 2018"
Himanshu Khatri,5,Terrific,this device offers too many things for this price,1,0,"Sep, 2018"
PIYUSH KANKRANIA,5,Fabulous!,"Hi,",1,0,"Sep, 2018"
RANADEB  SARKAR,5,Super!,😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘i got it yesterday.....i am a heavy user...lets rating,1,0,"Sep, 2018"
Shubham Gupta,5,Simply awesome,this phone is the best phone in the market as it is giving the configuration of one plus 6 at this price...face unlock is very fast even faster than one plus 6. camera is also good at this price.,1,0,"Sep, 2018"
umesh  yadav ,5,Wonderful,"only 3 things i expect from smartphone and are camera battery and processor and in this phone i got good camera, best processing speed and best battery life, expectation fulfilled as it my first xiaomi device and delivered within 24 hour, loving it.",1,0,"Sep, 2018"
